dataset	method	folds	words	precision	recall	f1	f0.5	exact	serious_error	fp_per_100k	ns_per_word
wiktextract_it_typeset	liang_tex	5	911.600000 (sd 12.157302)	0.977336 (sd 0.004092)	0.964519 (sd 0.003181)	0.970884 (sd 0.003480)	0.974745 (sd 0.003815)	0.927138 (sd 0.008034)	0.030089 (sd 0.006376)	855.775835 (sd 154.262693)	816.779838 (sd 20.492821)
wiktextract_it_typeset	guarded_ngram	5	911.600000 (sd 12.157302)	0.979826 (sd 0.004548)	0.762647 (sd 0.015439)	0.857639 (sd 0.010444)	0.926977 (sd 0.006392)	0.663490 (sd 0.021020)	0.025421 (sd 0.006275)	601.292880 (sd 136.427258)	114.540102 (sd 5.437334)
wiktextract_nl_typeset	hypher	5	125476.400000 (sd 36.671515)	0.877353 (sd 0.000362)	0.976189 (sd 0.000307)	0.924136 (sd 0.000336)	0.895486 (sd 0.000352)	0.687498 (sd 0.001697)	0.292861 (sd 0.001440)	3782.554226 (sd 12.455254)	593.969997 (sd 2.989734)
wiktextract_nl_typeset	liang_tex	5	125476.400000 (sd 36.671515)	0.936336 (sd 0.000279)	0.976189 (sd 0.000307)	0.955847 (sd 0.000216)	0.944044 (sd 0.000239)	0.850780 (sd 0.000950)	0.125510 (sd 0.000727)	2060.103812 (sd 9.816914)	1460.409131 (sd 22.260683)
wiktextract_nl_typeset	guarded_ngram	5	125476.400000 (sd 36.671515)	0.994809 (sd 0.000159)	0.969857 (sd 0.000257)	0.982175 (sd 0.000122)	0.989717 (sd 0.000115)	0.921504 (sd 0.000459)	0.012673 (sd 0.000410)	157.065402 (sd 4.827181)	150.733179 (sd 4.748514)
wiktextract_ru_cyrl_trusted_dedup_typeset	hypher	5	3002.400000 (sd 0.547723)	0.840742 (sd 0.006957)	0.926234 (sd 0.004779)	0.881414 (sd 0.005593)	0.856551 (sd 0.006393)	0.809685 (sd 0.009372)	0.163470 (sd 0.008772)	5897.181996 (sd 273.602990)	337.242688 (sd 6.565420)
wiktextract_ru_cyrl_trusted_dedup_typeset	liang_tex	5	3002.400000 (sd 0.547723)	0.952822 (sd 0.007542)	0.926234 (sd 0.004779)	0.939334 (sd 0.005624)	0.947379 (sd 0.006679)	0.921462 (sd 0.005880)	0.043099 (sd 0.007402)	1891.897444 (sd 304.628445)	799.540825 (sd 14.569300)
wiktextract_ru_cyrl_trusted_dedup_typeset	guarded_ngram	5	3002.400000 (sd 0.547723)	0.952383 (sd 0.003687)	0.938412 (sd 0.002882)	0.945343 (sd 0.002773)	0.949554 (sd 0.003227)	0.929123 (sd 0.003116)	0.042766 (sd 0.003554)	1934.806956 (sd 142.848198)	339.220221 (sd 3.480551)
wiktextract_tr_typeset	hypher	5	3686.200000 (sd 25.606640)	0.649514 (sd 0.009328)	0.982764 (sd 0.001085)	0.782086 (sd 0.006561)	0.696752 (sd 0.008527)	0.510248 (sd 0.009552)	0.484270 (sd 0.009260)	16655.396768 (sd 512.896280)	326.527267 (sd 4.248098)
wiktextract_tr_typeset	liang_tex	5	3686.200000 (sd 25.606640)	0.766795 (sd 0.009924)	0.971744 (sd 0.001935)	0.857157 (sd 0.005948)	0.800547 (sd 0.008557)	0.808244 (sd 0.008514)	0.182421 (sd 0.008581)	11164.010455 (sd 500.543854)	896.796659 (sd 13.085515)
wiktextract_tr_typeset	guarded_ngram	5	3686.200000 (sd 25.606640)	0.986290 (sd 0.001178)	0.995612 (sd 0.000981)	0.990929 (sd 0.000949)	0.988140 (sd 0.001063)	0.976556 (sd 0.002395)	0.022738 (sd 0.002091)	523.197106 (sd 50.823052)	333.453241 (sd 7.764382)
